"gemeinde_id";"name"
"07131032";"Honerath (RP)"
"07132022";"Eichelhardt (RP)"
"06635001";"Allendorf (Eder) (HE)"
"06635002";"Bad Arolsen (HE)"
"06635004";"Battenberg (Eder) (HE)"
"05766012";"Barntrup"
"05766016";"Blomberg"
"05766020";"Detmold"
"05766024";"Dörentrup"
"05766028";"Extertal"
"05766032";"Horn-Bad Meinberg"
"05766036";"Kalletal"
"05766040";"Lage"
"05766044";"Lemgo"
"05766048";"Leopoldshöhe"
"05766052";"Lügde"
"06635006";"Burgwald (HE)"
"07132038";"Fürthen (RP)"
"05766056";"Oerlinghausen"
"06635008";"Diemelstadt (HE)"
"06635011";"Frankenberg (Eder) (HE)"
"05766060";"Schieder-Schwalenberg"
"05766064";"Schlangen"
"05770004";"Bad Oeynhausen"
"05770008";"Espelkamp"
"05770012";"Hille"
"06635014";"Hatzfeld (Eder) (HE)"
"06635015";"Korbach (HE)"
"06635016";"Lichtenfels (HE)"
"05770016";"Hüllhorst"
"05770020";"Lübbecke"
"05770024";"Minden"
"05770028";"Petershagen"
"05770032";"Porta Westfalica"
"05770036";"Preußisch Oldendorf"
"05770040";"Rahden"
"05770044";"Stemwede"
"05774004";"Altenbeken"
"06635018";"Twistetal (HE)"
"07132070";"Michelbach (Westerwald) (RP)"
"05774008";"Bad Lippspringe"
"05774012";"Borchen"
"05774016";"Büren"
"05774020";"Delbrück"
"07131004";"Antweiler (RP)"
"07132071";"Molzhain (RP)"
"05774036";"Salzkotten"
"05774040";"Bad Wünnenberg"
"05911000";"Bochum"
"05913000";"Dortmund"
"05914000";"Hagen"
"05915000";"Hamm"
"05916000";"Herne"
"06635019";"Vöhl (HE)"
"07131049";"Mayschoß (RP)"
"05954004";"Breckerfeld"
"06635020";"Volkmarsen (HE)"
"06635022";"Willingen (Upland) (HE)"
"07132094";"Rettersen (RP)"
"05954008";"Ennepetal"
"07132052";"Hilgenroth (RP)"
"07132044";"Hamm (Sieg) (RP)"
"05954012";"Gevelsberg"
"05954016";"Hattingen"
"05954020";"Herdecke"
"05954024";"Schwelm"
"07131002";"Ahrbrück (RP)"
"03155003";"Dassel (NDS)"
"05954028";"Sprockhövel"
"05954032";"Wetter (Ruhr)"
"05954036";"Witten"
"05958004";"Arnsberg"
"05958008";"Bestwig"
"05958024";"Marsberg"
"05958028";"Medebach"
"05958032";"Meschede"
"05958036";"Olsberg"
"05958040";"Schmallenberg"
"05958044";"Sundern (Sauerland)"
"07131003";"Altenahr (RP)"
"07132051";"Heupelzen (RP)"
"05958048";"Winterberg"
"05962004";"Altena"
"05962008";"Balve"
"05962012";"Halver"
"05962020";"Herscheid"
"05962024";"Iserlohn"
"07132042";"Grünebach (RP)"
"07132045";"Harbach (RP)"
"05962028";"Kierspe"
"05962032";"Lüdenscheid"
"05962036";"Meinerzhagen"
"05962040";"Menden (Sauerland)"
"05962044";"Nachrodt-Wiblingwerde"
"05962048";"Neuenrade"
"05962052";"Plettenberg"
"05962056";"Schalksmühle"
"07131005";"Aremberg (RP)"
"05962060";"Werdohl"
"07131006";"Bad Breisig (RP)"
"07132056";"Idelberg (RP)"
"05966004";"Attendorn"
"07131008";"Barweiler (RP)"
"05966008";"Drolshagen"
"05966012";"Finnentrop"
"07131009";"Bauler (RP)"
"07132025";"Elkenroth (RP)"
"05966016";"Kirchhundem"
"05966020";"Lennestadt"
"05966024";"Olpe"
"07132024";"Elben (RP)"
"07132046";"Hasselbach (RP)"
"03241012";"Neustadt am Rübenberge (NDS)"
"05966028";"Wenden"
"05970004";"Bad Berleburg"
"05970008";"Burbach"
"05970012";"Erndtebrück"
"05970016";"Freudenberg"
"05970020";"Hilchenbach"
"07131011";"Berg (RP)"
"05970024";"Kreuztal"
"05974012";"Ense"
"05974016";"Erwitte"
"05974020";"Geseke"
"05978028";"Schwerte"
"05978040";"Werne"
"05774024";"Hövelhof"
"05962016";"Hemer"
"05970028";"Bad Laasphe"
"05334012";"Eschweiler"
"07131015";"Dankerath (RP)"
"07143222";"Fehl-Ritzhausen (RP)"
"05334016";"Herzogenrath"
"05334020";"Monschau"
"07131017";"Dernau (RP)"
"07131018";"Dorsel (RP)"
"05974008";"Bad Sassendorf"
"07132048";"Helmeroth (RP)"
"07132049";"Hemmelzen (RP)"
"07131021";"Eichenbach (RP)"
"05974024";"Lippetal"
"05974028";"Lippstadt"
"07131022";"Fuchshofen (RP)"
"07131026";"Harscheid (RP)"
"07131029";"Hönningen (RP)"
"07132057";"Ingelbach (RP)"
"07131030";"Hoffeld (RP)"
"03155012";"Uslar (NDS)"
"05974032";"Möhnesee"
"05974036";"Rüthen"
"07132075";"Niederdreisbach (RP)"
"07132076";"Niederfischbach (RP)"
"07131036";"Kalenborn (RP)"
"05974040";"Soest"
"05974044";"Warstein"
"05974048";"Welver"
"05974052";"Werl"
"07131034";"Insul (RP)"
"03241021";"Wunstorf (NDS)"
"05974056";"Wickede (Ruhr)"
"05978004";"Bergkamen"
"05978008";"Bönen"
"05978012";"Fröndenberg/Ruhr"
"07132079";"Nisterberg (RP)"
"07131042";"Kottenborn (RP)"
"07131040";"Kirchsahr (RP)"
"07132058";"Isert (RP)"
"07138009";"Dattenberg (RP)"
"07233020";"Dreis-Brück (RP)"
"05978016";"Holzwickede"
"05978020";"Kamen"
"07132081";"Obererbach (Westerwald) (RP)"
"07232308";"Sellerich (RP)"
"07131052";"Müsch (RP)"
"05978032";"Selm"
"05978036";"Unna"
"07132082";"Oberirsen (RP)"
"07138075";"Vettelschoß (RP)"
"07232202";"Auw bei Prüm (RP)"
"07131068";"Rech (RP)"
"07131044";"Leimbach (RP)"
"07131047";"Lind (RP)"
"07132092";"Racksen (RP)"
"07131062";"Ohlenhard (RP)"
"07132106";"Sörth (RP)"
"07132053";"Hirz-Maulsbach (RP)"
"07143255";"Lautzenbrücken (RP)"
"07131065";"Pomster (RP)"
"07138019";"Erpel (RP)"
"NL001641";"Maasgouw (NL)"
"NL001658";"Heeze-Leende (NL)"
"06633016";"Liebenau (HE)"
"07131076";"Sierscheid (RP)"
"07232227";"Gondenbrett (RP)"
"07131083";"Wiesemscheid (RP)"
"07131070";"Remagen (RP)"
"07131072";"Rodder (RP)"
"07132108";"Steineroth (RP)"
"03459003";"Bad Essen (NDS)"
"07131074";"Schuld (RP)"
"07143295";"Stein-Neukirch (RP)"
"03459015";"Dissen am Teutoburger Wald (NDS)"
"03459033";"Wallenhorst (NDS)"
"07131075";"Senscheid (RP)"
"07132059";"Kausen (RP)"
"07131077";"Sinzig (RP)"
"07131079";"Trierscheid (RP)"
"07132061";"Kettenhausen (RP)"
"07138037";"Leubsdorf (RP)"
"07132026";"Emmerzhausen (RP)"
"07131084";"Wimbach (RP)"
"07132027";"Ersfeld (RP)"
"07131085";"Winnerath (RP)"
"06635005";"Bromskirchen (HE)"
"06635007";"Diemelsee (HE)"
"07131039";"Kesseling (RP)"
"07131001";"Adenau (RP)"
"07131007";"Bad Neuenahr-Ahrweiler (RP)"
"07131033";"Hümmel (RP)"
"07138006";"Breitscheid (RP)"
"07131082";"Wershofen (RP)"
"07131090";"Grafschaft (RP)"
"07132008";"Birken-Honigsessen (RP)"
"07132063";"Kirchen (Sieg) (RP)"
"07131086";"Wirft (RP)"
"07138044";"Neustadt (Wied) (RP)"
"07132010";"Bitzen (RP)"
"07132097";"Rott (RP)"
"07131501";"Dümpelfeld (RP)"
"07132002";"Alsdorf (RP)"
"07132004";"Bachenberg (RP)"
"07132006";"Betzdorf (RP)"
"07131069";"Reifferscheid (RP)"
"07132007";"Birkenbeul (RP)"
"07132009";"Birnbach (RP)"
"07132013";"Breitscheidt (RP)"
"07138068";"Sankt Katharinen (Landkreis Neuwied) (RP)"
"07132017";"Busenhausen (RP)"
"07132011";"Mittelhof (RP)"
"07143244";"Homberg (RP)"
"07132012";"Brachbach (RP)"
"07132035";"Forstmehren (RP)"
"07232302";"Roth bei Prüm (RP)"
"07132014";"Bruchertseifen (RP)"
"07132062";"Kircheib (RP)"
"07132019";"Derschen (RP)"
"NL000946";"Nederweert (NL)"
"NL001945";"Berg en Dal (NL)"
"NL000951";"Nuth (NL)"
"NL000957";"Roermond (NL)"
"NL000971";"Stein (NL)"
"NL000983";"Venlo (NL)"
"NL000984";"Venray (NL)"
"NL000986";"Voerendaal (NL)"
"NL000988";"Weert (NL)"
"NL000994";"Valkenburg aan de Geul (NL)"
"NL001507";"Horst aan de Maas (NL)"
"NL001509";"Oude IJsselstreek (NL)"
"05111000";"Düsseldorf"
"05113000";"Essen"
"05114000";"Krefeld"
"05154036";"Kleve"
"07132084";"Obernau (RP)"
"07233029";"Hillesheim (RP)"
"07233035";"Jünkerath (RP)"
"07233076";"Üxheim (RP)"
"07233083";"Wiesbaum (RP)"
"07233218";"Kelberg (RP)"
"07233229";"Nohn (RP)"
"07132087";"Ölsen (RP)"
"07132018";"Daaden (RP)"
"07132034";"Forst (RP)"
"07132037";"Friesenhagen (RP)"
"07132050";"Herdorf (RP)"
"07132054";"Hövels (RP)"
"07132060";"Kescheid (RP)"
"07132072";"Mudersbach (RP)"
"07132074";"Neitersen (RP)"
"07132077";"Niederirsen (RP)"
"07143302";"Waigandshain (RP)"
"07132080";"Katzwinkel (Sieg) (RP)"
"07132088";"Orfgen (RP)"
"07132093";"Reiferscheid (RP)"
"07132091";"Pracht (RP)"
"07143311";"Willingen (RP)"
"07132110";"Volkerzen (RP)"
"07132096";"Roth (RP)"
"07132098";"Scheuerfeld (RP)"
"07132100";"Schürdt (RP)"
"07132101";"Schutzbach (RP)"
"07143214";"Bretthausen (RP)"
"07132102";"Seelbach bei Hamm (Sieg) (RP)"
"07132105";"Selbach (Sieg) (RP)"
"07132111";"Wallmenroth (RP)"
"07132112";"Walterschen (RP)"
"07132113";"Weitefeld (RP)"
"07132114";"Werkhausen (RP)"
"07132115";"Weyerbusch (RP)"
"07132117";"Wissen (RP)"
"07132118";"Wölmersen (RP)"
"07132119";"Ziegenhain (RP)"
"07132501";"Altenkirchen (Westerwald) (RP)"
"07138003";"Asbach (RP)"
"07138004";"Bad Hönningen (RP)"
"07138008";"Bruchhausen (RP)"
"07138041";"Linz am Rhein (RP)"
"07138055";"Ockenfels (RP)"
"07138062";"Rheinbreitbach (RP)"
"07138065";"Roßbach (RP)"
"07143315";"Zehnhausen bei Rennerod (RP)"
"07138073";"Unkel (RP)"
"07138077";"Windhagen (RP)"
"07138080";"Buchholz (Westerwald) (RP)"
"07138501";"Kasbach-Ohlenberg (RP)"
"07143225";"Giesenhausen (RP)"
"07143243";"Hof (RP)"
"07143250";"Kroppach (RP)"
"07143253";"Langenbach bei Kirburg (RP)"
"07143256";"Liebenscheid (RP)"
"07143277";"Nisterau (RP)"
"07143265";"Mörsbach (RP)"
"07143278";"Nister-Möhrendorf (RP)"
"07143270";"Neunkhausen (RP)"
"07143274";"Niederroßbach (RP)"
"07143285";"Rehe (RP)"
"07143286";"Rennerod (RP)"
"07143296";"Stein-Wingert (RP)"
"07143297";"Stockhausen-Illfurth (RP)"
"07232208";"Buchet (RP)"
"07233023";"Feusdorf (RP)"
"07232226";"Weinsheim (RP)"
"07232250";"Kleinlangenfeld (RP)"
"07232272";"Neuendorf (RP)"
"07232283";"Oberlascheid (RP)"
"07232288";"Olzheim (RP)"
"07232305";"Schwirzheim (RP)"
"07233002";"Basberg (RP)"
"07233005";"Berndorf (RP)"
"07233007";"Birgel (RP)"
"07233022";"Esch (RP)"
"03255505";"Holzminden,gemfr.Gebiet (NDS)"
"07233028";"Gönnersdorf (RP)"
"05774028";"Lichtenau"
"05774032";"Paderborn"
"07233038";"Kerpen (Eifel) (RP)"
"05958012";"Brilon"
"05958016";"Eslohe (Sauerland)"
"05958020";"Hallenberg"
"07233041";"Lissendorf (RP)"
"07233053";"Oberbettingen (RP)"
"07233080";"Walsdorf (RP)"
"07233054";"Oberehe-Stroheich (RP)"
"07233205";"Bodenbach (RP)"
"07233207";"Borler (RP)"
"07233206";"Bongard (RP)"
"05970032";"Netphen"
"05970036";"Neunkirchen"
"05970040";"Siegen"
"05970044";"Wilnsdorf"
"05974004";"Anröchte"
"07233211";"Duppach (RP)"
"07233212";"Gelenberg (RP)"
"07233214";"Hallschlag (RP)"
"07233219";"Kerschenbach (RP)"
"07233235";"Reuth (RP)"
"05978024";"Lünen"
"07233232";"Ormont (RP)"
"07233237";"Scheid (RP)"
"BE063040";"Kelmis (BE)"
"BE063061";"Raeren (BE)"
"BE063080";"Waimes (BE)"
"BE063088";"Plombieres (BE)"
"NL000153";"Enschede (NL)"
"NL000158";"Haaksbergen (NL)"
"NL000164";"Hengelo (NL)"
"NL000168";"Losser (NL)"
"NL000173";"Oldenzaal (NL)"
"NL000196";"Rijnwaarden (NL)"
"NL000197";"Aalten (NL)"
"07233239";"Schüller (RP)"
"07233240";"Stadtkyll (RP)"
"NL000209";"Beuningen (NL)"
"NL000222";"Doetinchem (NL)"
"NL000226";"Duiven (NL)"
"NL000252";"Heumen (NL)"
"NL000268";"Nijmegen (NL)"
"NL000294";"Winterswijk (NL)"
"NL000299";"Zevenaar (NL)"
"NL000743";"Asten (NL)"
"NL000756";"Boxmeer (NL)"
"NL000762";"Deurne (NL)"
"NL000847";"Someren (NL)"
"NL000881";"Onderbanken (NL)"
"07233241";"Steffeln (RP)"
"BE063012";"Bullingen-Bullange (BE)"
"BE063013";"Butgenbach (BE)"
"BE063023";"Eupen (BE)"
"05334032";"Stolberg (Rhld.)"
"05334036";"Würselen"
"05158020";"Langenfeld (Rhld.)"
"05334004";"Alsdorf"
"05334008";"Baesweiler"
"05334024";"Roetgen"
"05334028";"Simmerath"
"05358004";"Aldenhoven"
"05358008";"Düren"
"05358012";"Heimbach"
"05358016";"Hürtgenwald"
"05358020";"Inden"
"05358024";"Jülich"
"05358028";"Kreuzau"
"05358032";"Langerwehe"
"05358040";"Merzenich"
"05358044";"Nideggen"
"05358048";"Niederzier"
"05358052";"Nörvenich"
"05358056";"Titz"
"05358060";"Vettweiß"
"05362004";"Bedburg"
"05362008";"Bergheim"
"05362040";"Wesseling"
"05566052";"Metelen"
"05566056";"Mettingen"
"05566060";"Neuenkirchen"
"05566064";"Nordwalde"
"05566068";"Ochtrup"
