"stoff_nr";"name";"beschreibung";"cas_id"
"1000";"Wassertemperatur, gemessen im Zulauf";"";""
"1001";"Relative Luftfeuchte 0.8m, Tagesmittel";"";""
"1002";"Relative Luftfeuchte 0.8m, Tagesminimum";"";""
"1003";"Relative Luftfeuchte 0.8m, Tagesmaximum";"";""
"1004";"Luftdruck, Minimum";"";""
"1005";"Luftdruck, Tagesmittel";"";""
"1006";"Luftdruck, Maximum";"";""
"1007";"Windgeschwindigkeit in 10m, Tagesmittel";"";""
"1008";"Windgeschwindigkeit in 10m, Tagesminimum";"";""
"1009";"Windgeschwindigkeit in 10m, Tagesmaximum";"";""
"1011";"Wassertemperatur";"";""
"1012";"Wassertemperatur, ammoniumrelevant (VWV)";"";""
"1013";"Wassertemperatur, Minimum";"";""
"1014";"Wassertemperatur, Maximum";"";""
"1015";"Lufttemperatur";"";""
"1016";"Lufttemperatur, Minimum";"";""
"1017";"Lufttemperatur, Maximum";"";""
"1018";"Wassertemperatur 1m, Tagesmittelwert";"";""
"1019";"Aufwärmspanne";"";""
"1020";"Wassertemperatur 0.3m, Tagesmittelwert";"";""
"1021";"Wassertemperatur 0.3m, Tagesminimum";"";""
"1022";"Wassertemperatur 1m, Tagesminimum";"";""
"1023";"Färbung";"";""
"1024";"Sichttiefe, Sommermittelwert";"";""
"1025";"Wassertemperatur, gleitender 6 Std-Mw";"";""
"1026";"Dampfdruck";"";""
"1027";"Spektraler Abs.-Koeffizient bei 436 nm";"";""
"1028";"Spektraler Abs.-Koeffizient bei 254 nm";"";""
"1029";"Trübung, Messg. d. gestreuten Strahlung";"";""
"1032";"Sichttiefe (Durchsichtigkeitszyl.)";"";""
"1033";"Sichttiefe (Sichtscheibe)";"";""
"1035";"Trübung";"";""
"1036";"Trübung, Tagesmittel";"";""
"1037";"Trübung, Tagesminimum";"";""
"1038";"Trübung, Tagesmaximum";"";""
"1039";"Trübung, spektr. Schwäch.-Koeffizient";"";""
"1042";"Geruch";"";""
"1043";"Spektraler Abs.-Koeffizient bei 525 nm";"";""
"1044";"Spektraler Abs.-Koeffizient bei 620 nm";"";""
"1045";"Geruchsschwellenwert";"";""
"1047";"cold filter plugging point - Temperatur";"";""
"1048";"Motoren - Octanzahl";"";""
"1049";"Flammpunkt";"";""
"1053";"Spezifische Oberfläche";"";""
"1054";"Brennwert";"";""
"1055";"Säureneutralisationskapazität nach 24h";"";""
"1056";"Baseneutralisationskapazität nach 24h";"";""
"1057";"Dynamische Oberflächenspannung";"";""
"1058";"Temperatur bei 95% Destillatmenge";"";""
"1059";"Destillatmenge bei Temperatur 70°C";"";""
"1061";"pH-Wert";"";""
"1062";"pH-Wert, Minimum";"";""
"1063";"pH-Wert, Maximum";"";""
"1064";"Dichte bei Normtemperatur";"";""
"1066";"Säurezahl";"";""
"1067";"Oxidationsstabilität";"";""
"1068";"Sulfatasche";"";""
"1069";"Destillatmenge bei Temperatur 100°C";"";""
"1072";"Redox-Spannung";"";""
"1074";"Destillatmenge bei Temperatur 150°C";"";""
"1075";"Kalziumkarbonatsättigung";"";""
"1076";"Destillatmenge bei Temperatur 250°C";"";""
"1077";"Destillatmenge bei Temperatur 350°C";"";""
"1082";"Elektrische Leitfähigkeit bei 25°C";"";""
"1083";"Leitfähigkeit";"";""
"1084";"Leitfähigkeit, Minimum";"";""
"1085";"Leitfähigkeit, Maximum";"";""
"1089";"Solarität, Tagesmittel";"";""
"1090";"Strahlungsbilanz , Tagesmittel";"";""
"1091";"Strahlungsbilanz, Tagesminimum";"";""
"1092";"Strahlungsbilanz, Tagesmaximum";"";""
"1093";"Globalstrahlung, Tagesmittel";"";""
"1094";"Globalstrahlung, Tagesminimum";"";""
"1095";"Globalstrahlung, Tagesmaximum";"";""
"1105";"Neodym";"";"7440-00-8"
"1106";"Samarium";"";"7440-19-9"
"1107";"Dysprosium";"";"7429-91-6"
"1108";"Erbium";"";"7440-52-0"
"1109";"Ytterbium";"";"7440-64-4"
"1111";"Lithium";"";"7439-93-2"
"1112";"Natrium";"";"7440-23-5"
"1113";"Kalium";"";"7440-09-7"
"1114";"Rubidium";"";"7440-17-7"
"1115";"Cäsium";"";"7440-46-2"
"1116";"Kaliumoxid";"";"12136-45-7"
"1119";"Beryllium";"";"7440-41-7"
"1121";"Magnesium";"";"7439-95-4"
"1122";"Calcium";"";"7440-70-2"
"1123";"Strontium";"";"7440-24-6"
"1124";"Barium";"";"7440-39-3"
"1125";"Magnesiumcarbonat";"";"546-93-0"
"1127";"Gallium";"";"7440-55-3"
"1128";"Indium";"";"7440-74-6"
"1129";"Lanthan";"";"7439-91-0"
"1130";"Zirkonium";"";"7440-67-7"
"1131";"Aluminium";"";"7429-90-5"
"1132";"Thallium";"";"7440-28-0"
"1133";"Titan";"";"7440-32-6"
"1134";"Titan, gelöst";"";""
"1136";"Hafnium";"";"7440-58-6"
"1137";"Zinn";"";"7440-31-5"
"1138";"Blei";"";"7439-92-1"
"1139";"Cer";"";"7440-45-1"
"1140";"Thorium";"";"7440-29-1"
"1141";"Vanadium";"";"7440-62-2"
"1142";"Arsen";"";"7440-38-2"
"1143";"Niob";"";"7440-03-1"
"1144";"Yttrium";"";"7440-65-5"
"1145";"Antimon";"";"7440-36-0"
"1146";"Tantal";"";"7440-25-7"
"1147";"Bismut";"";"7440-69-9"
"1151";"Chrom";"";"7440-47-3"
"1152";"Chromat-Chrom";"";""
"1154";"Chrom VI";"";""
"1155";"Molybdän";"";"7439-98-7"
"1156";"Wolfram";"";"7440-33-7"
"1161";"Kupfer";"";"7440-50-8"
"1162";"Silber";"";"7440-22-4"
"1163";"Zink, gelöst";"";""
"1164";"Zink";"";"7440-66-6"
"1165";"Cadmium";"";"7440-43-9"
"1166";"Quecksilber";"";"7439-97-6"
"1167";"Uran";"";"7440-61-1"
"1168";"Radon-222";"";"14859-67-7"
"1171";"Mangan";"";"7439-96-5"
"1182";"Eisen";"";"7439-89-6"
"1183";"Eisen, zweiwertig";"";""
"1184";"Eisen, dreiwertig";"";""
"1185";"Eisen, gelöst";"";""
"1186";"Kobalt";"";"7440-48-4"
"1187";"Palladium";"";"7440-05-3"
"1188";"Nickel";"";"7440-02-0"
"1189";"Platin";"";"7440-06-4"
"1190";"Rhodium";"";"7440-16-6"
"1191";"Iridium";"";"7439-88-5"
"1192";"Gadolinium";"";"7440-54-2"
"1210";"Iod";"";"7553-56-2"
"1211";"Bor";"";"7440-42-8"
"1212";"Silizium";"";"7440-21-3"
"1213";"Siliziumdioxid";"";""
"1217";"Schwefel, gesamt";"";"7704-34-9"
"1218";"Selen";"";"7782-49-2"
"1219";"Tellur";"";"13494-80-9"
"1223";"Calciumcarbonatsättigung";"";""
"1224";"Hydrogencarbonat";"";""
"1226";"Calciumcarbonatsät. pH-Wert-Schnelltest";"";""
"1227";"Calciumcarbonat";"";"471-34-1"
"1228";"Basisch wirksame Stoffe (als CAO)";"";""
"1229";"Calciumoxid";"";"1305-78-8"
"1230";"Magnesiumoxid";"";"1309-48-4"
"1231";"Cyanid, gesamt";"";""
"1234";"Cyanid, leicht freisetzbar";"";"57-12-5"
"1238";"Thiocyanat";"";""
"1239";"Stickstoff-gesamt z. Frühjahrszirk.";"";""
"1241";"Stickstoff, gesamt";"";""
"1242";"Stickstoff, mineralisch (NH4, NO3, NO2)";"";""
"1243";"Stickstoff, organisch";"";""
"1244";"Nitrat";"";""
"1245";"Nitrat-Stickstoff";"";""
"1246";"Nitrit";"";""
"1247";"Nitrit-Stickstoff";"";""
"1248";"Ammonium";"";""
"1249";"Ammonium-Stickstoff";"";""
"1250";"Hydrazin";"";"302-01-2"
"1251";"Hydrolisierbares Phosphat";"";""
"1252";"Perchlorsaeure";"";"7601-90-3"
"1253";"Ammoniak-Stickstoff";"";""
"1254";"Ammoniak";"";"7664-41-7"
"1258";"Gesamt-P, epilimnischer Sommermittelwert";"";""
"1259";"Gesamt-Phosphor Z.Frühjahrszirkulation";"";""
"1261";"Gesamt-Phosphat";"";""
"1262";"Gesamtphosphat-Phosphor";"";""
"1263";"Ortho-Phosphat";"";"14265-44-2"
"1264";"Orthophosphat-Phosphor";"";""
"1266";"Hydrolisierbares Phosphat-P";"";""
"1267";"Organischer Phosphor";"";""
"1269";"Phosphor, gesamt";"";"7723-14-0"
"1270";"Diphosphorpentoxid";"";"1314-56-3"
"1279";"Ozon";"";"10028-15-6"
"1281";"Sauerstoff";"";"7782-44-7"
"1283";"Sauerstoffsättigungsindex";"";""
"1284";"Sauerstoff, Tagesminimum";"";""
"1285";"Sauerstoff, Tagesmaximum";"";""
"1286";"Sauerstoff, organisch gebunden";"";""
"1309";"Sulfid, leicht freisetzbar";"";""
"1311";"Sulfid";"";""
"1313";"Sulfat";"";""
"1314";"Sulfit";"";""
"1315";"Thiosulfat";"";""
"1316";"Schwefelsäure, frei";"";""
"1317";"Sulfid- und Mercaptanschwefel";"";""
"1318";"Sulfat-Schwefel";"";""
"1319";"Halogen, gesamt";"";""
"1321";"Fluorid";"";""
"1322";"Chlor gesamt";"";""
"1323";"Brom gesamt";"";"7726-95-6"
"1324";"Bromid";"";""
"1325";"Bromat";"";""
"1327";"Iodid";"";""
"1331";"Chlorid";"";""
"1332";"Chlorid, Minimum";"";""
"1333";"Chlorid, Maximum";"";""
"1334";"Chlorid, Tagesmittel";"";""
"1335";"Chlordioxid; Chlor; Brom";"";""
"1336";"Chlordioxid";"";"10049-04-4"
"1337";"Chlor, gesamt";"";"7782-50-5"
"1338";"Chlor, frei";"";""
"1340";"Extrahierbares organ. gebundenes Halogen";"";""
"1341";"Extrahierbares organisch geb. Halogen ";"";""
"1342";"Wirksames Chlor";"";""
"1343";"Adsorbierbare organische Halogenverbindungen (AOX)";"";""
"1344";"Adsorbierbarer organische Schwefelverbindungen (AO";"";""
"1345";"Chlorat";"";""
"1346";"Ausblasbare organisch gebundene Halogene";"";""
"1347";"Wasserdampfflüchtige organische Säuren";"";""
"1348";"Organischer Schwefel, gesamt (TOS)";"";""
"1349";"Adsorbierbare organische Jodverbindungen (AOJ)";"";""
"1350";"Adsorbierbare organische Chlorverbindungen (AOCl)";"";""
"1351";"Adsorbierbare organische Fluorverbindungen (AOF)";"";""
"1412";"Wassergehalt von Schlämmen";"";""
"1413";"Wassergehalt in Mineralölerzeugnissen";"";""
"1422";"Gesamttrockenrückstand";"";""
"1424";"Gesamtglührückstand";"";""
"1431";"Abdampfrückstand";"";""
"1432";"Filtrattrockenrückstand";"";""
"1433";"Filtratglührückstand";"";""
"1435";"Glührückstand des Abdampfrückstandes";"";""
"1441";"Abfiltrierbare Stoffe (susp. Feststoffe)";"";""
"1442";"Abfiltrierbare Stoffe, säureunlöslich";"";""
"1443";"Schwebstoffgehalt";"";""
"1444";"Glührückstand vom Ungelösten";"";""
"1446";"Fremdstoffe";"";""
"1452";"Absetzbare Stoffe, Volumenanteil";"";""
"1455";"Absetzbare Stoffe, Massenkonzentration";"";""
"1458";"Glühverlust der absetzbaren Stoffe";"";""
"1459";"Glührückstand d. Trockenm. d. abs. St.";"";""
"1463";"Restfeuchte";"";""
"1464";"Glührückstand d. Trockenm. v. Schlamm";"";""
"1465";"Glühverlust d. Trockenmasse v. Schlamm";"";""
"1466";"Schlammvolumenanteil";"";""
"1467";"Trockensubstanz, Belebtschlamm";"";""
"1468";"Schlammindex";"";""
"1469";"Trockenrückstand";"";""
"1472";"Säurekapazität bis pH 4,3";"";""
"1473";"Basekapazität bis pH 4,3";"";""
"1476";"Säurekapazität bis pH 8,2";"";""
"1477";"Basekapazität bis pH 8,2";"";""
"1479";"Gesamtalkalinität bis 4,5 und 4,2";"";""
"1481";"Gesamthaerte";"";""
"1482";"Gesamthärte";"";""
"1484";"Carbonat-Härte";"";""
"1500";"Gelöste Stoffe";"";""
"1516";"Hemmung des Wachstums von Lemna Minor";"";""
"1517";"Kohlenwasserstoff-Index C10-C22";"";""
"1519";"Kohlenstoff, gesamt";"";""
"1521";"Organischer Kohlenstoff, gelöst";"";""
"1523";"Organischer Kohlenstoff, gesamt (TOC)";"";""
"1524";"Gesamter organischer Kohlenstoff,Minimum";"";""
"1525";"Gesamter organischer Kohlenstoff,Maximum";"";""
"1526";"Anorganischer Kohlenstoff, gesamt";"";""
"1527";"Gesamter Kohlenstoff, Mittel";"";""
"1528";"Gesamter Kohlenstoff, Minimum";"";""
"1529";"Gesamter Kohlenstoff, Maximum";"";""
"1530";"TOC400";"";""
"1531";"Kaliumpermanganat-Verbrauch";"";""
"1533";"Chemischer Sauerstoffbedarf";"";""
"1535";"restlicher Oxidierbarer Kohlenstoff";"";""
"1536";"Kaliumpermanganat-Verbrauch als O2";"";""
"1537";"Permanganat-Index";"";""
"1538";"TIC900";"";""
"1539";"Öl-Identifikation, Übereinstimmung";"";""
"1546";"Phenol-Index";"";""
"1547";"Phenol-Index, gesamt";"";""
"1548";"Aliphatische Kohlenwasserstoffe";"";""
"1549";"Aromatische Kohlenwasserstoffe";"";""
"1550";"Kohlenwasserstoffe";"";""
"1552";"Kohlenwasserstoff-Index";"";""
"1561";"Anionische Tenside";"";""
"1562";"Bismut-Komplexierungsindex";"";""
"1564";"Kationische Tenside";"";""
"1567";"Nichtionische Tenside";"";""
"1570";"Lipophile Stoffe";"";""
"1571";"Direkt abscheidb. lipophile Leichtstoffe";"";""
"1588";"Potenzialklasse der Fischfauna";"";""
"1589";"oekologisches Potenzial";"";""
"1590";"Potenzialklasse des Makrozoobenthos";"";""
"1591";"Kornfraktion kleiner 0,1mm";"";""
"1592";"Kornfraktion kleiner 3,15mm";"";""
"1593";"Zustandsklasse Fischfauna";"";""
"1594";"ökologischer Zustand";"";""
"1595";"Trophie-Bewertungsstufe";"";""
"1596";"Trophie-Index";"";""
"1597";"Zustandsklasse Phytoplankton";"";""
"1598";"Degradation des Makrozoobenthos";"";""
"1599";"Säurezustand des Makrozoobenthos";"";""
"1600";"Erbgutveränderndes Potential (Umu-Test)";"";""
"1601";"Zustandsklasse des Makrozoobenthos";"";""
"1602";"Vollst. anaerobe biol. Abbaubarkeit";"";""
"1603";"Aerobe biol. Abbaubarkeit/CSB-Abbg";"";""
"1604";"Aerobe biol. Abbaubarkeit/DOC-Abbg";"";""
"1605";"Aerobe biol. Abbaubarkeit/CSB/ 7 Tage";"";""
"1606";"Aerobe biol. Abbaubarkeit/ DOC/7 Tage";"";""
"1607";"Aerobe biol. Abbaubarkeit /DOC/28 Tage";"";""
"1608";"Biol. abbaub. an- u. nichtion. Tenside";"";""
"1609";"Biologische Abbaubarkeit";"";""
"1610";"Leichte aerobe biol. Abbaubarkeit";"";""
"1611";"Fäulnisfähigkeit";"";""
"1612";"Korngrössenvert., Frakt. kleiner 2um";"";""
"1613";"Korngrössenvert., Frakt. kleiner 20um";"";""
"1614";"Korngrössenvert., Frakt. kleiner 40um";"";""
"1615";"Korngrössenvert., Frakt. kleiner 63um";"";""
"1616";"Korngrössenvert., Frakt. kleiner 125um";"";""
"1617";"Korngrössenvert., Frakt. kleiner 200um";"";""
"1618";"Korngrössenvert., Frakt. kleiner 630um";"";""
"1619";"Korngrössenvert., Frakt.grösser 630um";"";""
"1621";"Biochemischer Sauerstoffbedarf n. 1 Tag";"";""
"1622";"Sauerstoff-Zehrung nach 48 Stunden";"";""
"1623";"Sauerstoffzehrung in 7 Tagen, mit Ath";"";""
"1624";"Sauerstoffzehrung in 5 Tagen";"";""
"1625";"Biochemischer Sauerstoffbedarf ohne Ath";"";""
"1626";"Zustandsklasse der Makrophyten";"";""
"1627";"Biochem. Sauerstoffbedarf o. Ath, in 7Ta";"";""
"1634";"Zustandsklasse der benthischen Diatomeen";"";""
"1635";"Biochem. Sauerstoffbedarf m. Ath, in 5Ta";"";""
"1636";"Trophischer Zustand der benth. Diatomeen";"";""
"1637";"Biochem. Sauerstoffbedarf m. Ath, in 7Ta";"";""
"1640";"Kornfraktion kleiner 5mm";"";""
"1641";"Kornfraktion kleiner 2mm";"";""
"1642";"Kornfraktion kleiner 1mm";"";""
"1643";"Referenzartenindex der benth. Diatomeen";"";""
"1644";"Versauerungszeiger der benth. Diatomeen";"";""
"1645";"Halobienindex der benth. Diatomeen";"";""
"1646";"Zustandsklasse d sonstigen Phytobenthos";"";""
"1647";"Zustandsklasse Makrophyten/Phytobenthos";"";""
"1648";"Zusammensetzung d planktischen Diatomeen";"";""
"1649";"Zusammensetzung d Phytoplankton lebend";"";""
"1652";"Bodenatmung als O2-Aufnahme";"";""
"1653";"Sauerstoffproduktion im Gewässer";"";""
"1654";"Sauerstoffverbrauch im Gewässer";"";""
"1655";"Sauerstoff-Produktionspotential";"";""
"1656";"Bodenatmung als CO2-Abgabe";"";""
"1657";"Sauerstoffrestgehalt nach 48 Stunden";"";""
"1659";"Phytotrophie-Index";"";""
"1662";"Enterokokken";"";""
"1663";"Pseudomonas aeruginosa";"";""
"1664";"Clostridium perfingens";"";""
"1665";"Giftwirkung von Abwasser auf Fischeier";"";""
"1666";"Hemmung der Lichtemission von Vibrio Fi.";"";""
"1667";"Hemmung der Zellvermehrung von Photobact";"";""
"1668";"Hemmung der Zellvermehrung von Vibrio Fi";"";""
"1669";"Chlorophyll-A, Epilimn.Sommermittelwert*";"";""
"1670";"Fischgiftigkeit, Verdünnungsfaktor";"";""
"1671";"Giftwirkung von Abwasser auf Fische";"";""
"1672";"Fischaktivität, Tagesmaximum";"";""
"1673";"Hemmung der Zellvermehrung von Pseud.Put";"";""
"1674";"Hemmung der Lichtemission von Photobact.";"";""
"1675";"Daphnientoxizität";"";""
"1676";"Algengiftigkeit, Fluoreszenzmessung";"";""
"1677";"Algengiftigkeit, Zellzahlbestimmung";"";""
"1678";"Hemmung des Sauerstoffverbrauchs von Psp";"";""
"1679";"Phaeopigmente";"";""
"1680";"Saprobien-Index";"";""
"1681";"Güteklasse";"";""
"1682";"Trophiegrad Istzustand";"";""
"1683";"Chlorophyll-A";"";""
"1684";"Daphnienaktivität, Tagesmittelwert";"";""
"1685";"Daphnienaktivität, Tagesminimum";"";""
"1686";"Daphnienaktivität, Tagesmaximum";"";""
"1687";"Phytoplanktonarten, Sonst. (Frischmasse)";"";""
"1688";"Phytoplanktonbiomasse (Frischmasse)";"";""
"1689";"Phytoplankton-Zellzahl";"";""
"1690";"Koloniezahl bei (20 plusminus 2) Grad C";"";""
"1691";"Koloniezahl bei (36 plusminus 1) Grad C";"";""
"1692";"Phytoplankton-Biovolumen";"";""
"1693";"Saprobieklasse";"";""
"1694";"Vermehrungsfähige Keime b.(20+-2)Grad C";"";""
"1695";"Coliforme Keime bei (36+-2) Grad C";"";""
"1696";"Coliforme Keime bei 42 Grad C";"";""
"1697";"Escherichia Coli";"";""
"1698";"Fäkalcoliforme Keime";"";""
"1699";"Gesamtcoliforme Keime";"";""
"1700";"Blaualgen (Frischmasse)";"";""
"1701";"Grünalgen (Frischmasse)";"";""
"1702";"Kieselalgen (Frischmasse)";"";""
"1703";"Zooplanktonbiomasse (Frischmasse)";"";""
"1704";"Einzeller (Frischmasse)";"";""
"1705";"Rädertiere (Frischmasse)";"";""
"1706";"Copepoden (Frischmasse)";"";""
"1707";"Phyllopoden (Frischmasse)";"";""
"1708";"Zooplanktonorganismen, Sonst. (Frischm.)";"";""
"1709";"Makrophytengrenze, Unt. (je n. Kart.T)";"";""
"1713";"Cryptosporidium parvum";"";""
"1714";"Giardia lamblia";"";""
"1715";"Legionella spp.";"";""
"1716";"17-b-Estradiol-Aequivalentkonzentration";"";""
"1717";"Serogruppe Legionellen";"";""
"1718";"Multiresistente Erreger (MRE)";"";""
"1719";"Menge der isolierten DNA";"";""
"1720";"Gesamtzellzahl";"";""
"1721";"Acinetobacter baumannii";"";""
"1722";"Extended-Spektrum Beta-Laktamasen bildende Enterob";"";""
"1723";"Vancomycin-resistente Enterokokken";"";""
"1724";"Acinetobacter baumannii MDR";"";""
"1725";"Pseudomonas aeruginosa MRGN";"";""
"1726";"östrogenes Wirkungspotential";"";""
"1727";"anti-östrogenes Wirkungspotential";"";""
"1728";"androgenes Wirkungspotential";"";""
"1729";"anti-androgenes Wirkungspotential";"";""
"1730";"gentoxisches Wirkungspotential";"";""
"1731";"mutagenes Wirkungspotential";"";""
"1732";"Koloniezahl bei (22 plusminus 2) Grad C";"";""
"1733";"Koloniezahl bei (36 plusminus 2) Grad C";"";""
"1761";"Salmonella";"";""
"1801";"Gesamt-Alpha-Aktivitätskonzentration";"";""
"1802";"Zählfehler Alpha-Aktivität";"";""
"1803";"Gesamt-Beta-Aktivitätskonzentration";"";""
"1804";"Zählfehler Beta-Aktivität";"";""
"1805";"Rest-Beta-Aktivitätskonzentration";"";""
"1806";"Richtdosis (Trinkwasser)";"";""
"1808";"Tritium";"";"10028-17-8"
"1809";"Zählfehler Tritium-Aktivität";"";""
"1816";"Summe SM TA Luft Klasse II + III";"";""
"1817";"Summe SM TA Luft Klasse II+III reduziert";"";""
"1818";"Summe SM TA Luft Klasse I";"";""
"1827";"Korngrössenvert., Frakt. kleiner 0,63um";"";""
"1828";"Korngrössenvert., Frakt. kleiner 6,3um";"";""
"1829";"Korngrössenvert., Frakt. kleiner 10um";"";""
"1830";"Korngrössenvert., Frakt. kleiner 100um";"";""
"2000";"Dichlormethan";"";"75-09-2"
"2001";"Chloroform";"";"67-66-3"
"2002";"Tetrachlormethan";"";"56-23-5"
"2003";"Tribrommethan";"";"75-25-2"
"2004";"Tetrabrommethan";"";"558-13-4"
"2005";"1,2-Dichlorethan";"";"107-06-2"
"2006";"Bromdichlormethan";"";"75-27-4"
"2007";"Dibromchlormethan";"";"124-48-1"
"2008";"1,1-Dichlorethan";"";"75-34-3"
"2009";"1,2-Dibromethan";"";"106-93-4"
"2010";"1,1,1-Trichlorethan";"";"71-55-6"
"2011";"1,1,2-Trichlorethan";"";"79-00-5"
"2012";"Bromchlormethan";"";"74-97-5"
"2013";"1,1,2-Trichlortrifluorethan";"";"76-13-1"
"2014";"Bromtrichlormethan";"";"75-62-7"
"2015";"1,1,1,2-Tetrachlorethan";"";"630-20-6"
"2016";"1,1,2,2-Tetrachlorethan";"";"79-34-5"
"2017";"3-Chlorpropen";"";"107-05-1"
"2018";"Pentachlorethan";"";"76-01-7"
"2019";"Hexachlorethan";"";"67-72-1"
"2020";"Trichlorethen";"";"79-01-6"
"2021";"Tetrachlorethen";"";"127-18-4"
"2022";"1,1-Dichlorethen";"";"75-35-4"
"2023";"1,2-Dichlorethen";"";"540-59-0"
"2024";"Vinylchlorid";"";"75-01-4"
"2025";"1,2-Dichlorpropan";"";"78-87-5"
"2026";"1,3-Dichlorpropan";"";"142-28-9"
"2027";"1,2,3-Trichlorpropan";"";"96-18-4"
"2028";"1,2-Dichlorethen, cis";"";"156-59-2"
"2029";"1,2-Dichlorethen, trans";"";"156-60-5"
"2030";"Hexachlorbutadien";"";"87-68-3"
"2031";"2-Chlorbutadien";"";"126-99-8"
"2032";"1,3-Dichlorpropen, cis (Z)";"";"10061-01-5"
"2033";"1,3-Dichlorpropen, trans (E)";"";"10061-02-6"
"2034";"2,3-Dichlorpropen";"";"78-88-6"
"2035";"N,N-Dimethylformamid";"";"68-12-2"
"2036";"N,N-Dibutylformamid";"";"761-65-9"
"2037";"1,3-Dichlorpropen";"";"542-75-6"
"2038";"1,3-Dichlorpropan-2-ol";"";"96-23-1"
"2039";"2,3-Dichlorpropan-1-ol";"";"616-23-9"
"2040";"Bis(2-chlorisopropyl)ether";"";"108-60-1"
"2041";"Bis(2-chlorisobutyl)ether";"";"53622-12-1"
"2042";"Bis(2-chlorethyl)ether";"";"111-44-4"
"2043";"Diphenylether";"";"101-84-8"
"2044";"1,1,2-Trichlorpropan";"";"598-77-6"
"2045";"Summe LHKW nach AbwV als Cl";"";""
"2046";"Trichlornitromethan";"";"76-06-2"
"2047";"1,1,1-Trichlortrifluorethan";"";"354-58-5"
"2048";"Benzol";"";"71-43-2"
"2049";"Methyl-tert-butylether";"";"1634-04-4"
"2050";"Chlorbenzol";"";"108-90-7"
"2051";"1,2-Dichlorbenzol";"";"95-50-1"
"2052";"1,3-Dichlorbenzol";"";"541-73-1"
"2053";"1,4-Dichlorbenzol";"";"106-46-7"
"2054";"Dichlorbenzol Isom(1,2/1,3/1,4)";"";"25321-22-6"
"2055";"Brombenzol";"";"108-86-1"
"2056";"Summe LHKW nach TVO (THM)";"";""
"2057";"Summe LHKW nach AbwV 2002";"";""
"2058";"e-Hexachlorcyclohexan";"";"6108-10-7"
"2059";"1,2,3-Trichlorbenzol";"";"87-61-6"
"2060";"1,2,4-Trichlorbenzol";"";"120-82-1"
